       h	Fehler D+	Fehler D-	Fehler D
        1.0e-02	-0.0026874645705328      	 0.0027155134631089     	0.0000140244462881      0.0000140244462881
        1.0e-03	-0.0002700108852223      	 0.0002702913755985     	0.0000001402451881      0.0000001402451881
        1.0e-04	-0.0000270137126164      	 0.0000270165176735     	0.0000000014025285      0.0000000014025285
        1.0e-05	-0.0000027015003728      	 0.0000027015332033     	0.0000000000164152      0.0000000000164152
        1.0e-06	-0.0000002700897445      	 0.0000002701447793     	0.0000000000275174      0.0000000000275174
        1.0e-07	-0.0000000280611250      	 0.0000000274500263     	-0.0000000003055494      -0.0000000003055494
        1.0e-08	0.0000000030251196      	 0.0000000030251196     	0.0000000030251196      0.0000000030251196
        1.0e-09	-0.0000001302016432      	 -0.0000000191793408     	-0.0000000746904920      -0.0000000746904920
        1.0e-10	-0.0000003522462482      	 -0.0000003522462482     	-0.0000003522462482      -0.0000003522462482
        1.0e-11	-0.0000003522462482      	 -0.0000003522462482     	-0.0000003522462482      -0.0000003522462482
